"","date","count"
"381","2016-04-30",0
"382","2016-05-01",0
"383","2016-05-02",0
"384","2016-05-03",0
"385","2016-05-04",1
"386","2016-05-05",0
"387","2016-05-06",0
"388","2016-05-07",0
"389","2016-05-08",0
"390","2016-05-09",1
"391","2016-05-10",2
"392","2016-05-11",1
"393","2016-05-12",1
"394","2016-05-13",0
"395","2016-05-14",0
"396","2016-05-15",0
"397","2016-05-16",0
"398","2016-05-17",0
"399","2016-05-18",1
"400","2016-05-19",2
"401","2016-05-20",3
"402","2016-05-21",0
"403","2016-05-22",0
"404","2016-05-23",0
"405","2016-05-24",0
"406","2016-05-25",0
"407","2016-05-26",0
"408","2016-05-27",0
"409","2016-05-28",0
"410","2016-05-29",0
"411","2016-05-30",0
"412","2016-05-31",1
"413","2016-06-01",0
"414","2016-06-02",0
"415","2016-06-03",0
"416","2016-06-04",0
"417","2016-06-05",0
"418","2016-06-06",0
"419","2016-06-07",0
"420","2016-06-08",1
"421","2016-06-09",0
"422","2016-06-10",1
"423","2016-06-11",0
"424","2016-06-12",0
"425","2016-06-13",0
"426","2016-06-14",1
"427","2016-06-15",4
"428","2016-06-16",1
"429","2016-06-17",1
"430","2016-06-18",0
"431","2016-06-19",0
"432","2016-06-20",2
"433","2016-06-21",1
"434","2016-06-22",2
"435","2016-06-23",2
"436","2016-06-24",1
"437","2016-06-25",0
"438","2016-06-26",0
"439","2016-06-27",0
"440","2016-06-28",0
"441","2016-06-29",0
"442","2016-06-30",0
"443","2016-07-01",0
"444","2016-07-02",0
"445","2016-07-03",0
"446","2016-07-04",0
"447","2016-07-05",0
"448","2016-07-06",0
"449","2016-07-07",1
"450","2016-07-08",1
"451","2016-07-09",0
"452","2016-07-10",0
"453","2016-07-11",0
"454","2016-07-12",0
"455","2016-07-13",1
"456","2016-07-14",0
"457","2016-07-15",1
"458","2016-07-16",0
"459","2016-07-17",0
"460","2016-07-18",1
"461","2016-07-19",1
"462","2016-07-20",2
"463","2016-07-21",0
"464","2016-07-22",0
"465","2016-07-23",0
"466","2016-07-24",0
"467","2016-07-25",1
"468","2016-07-26",2
"469","2016-07-27",1
"470","2016-07-28",0
"471","2016-07-29",0
"472","2016-07-30",0
"473","2016-07-31",0
"474","2016-08-01",0
"475","2016-08-02",1
"476","2016-08-03",2
"477","2016-08-04",1
"478","2016-08-05",0
"479","2016-08-06",0
"480","2016-08-07",0
"481","2016-08-08",0
"482","2016-08-09",0
"483","2016-08-10",1
"484","2016-08-11",1
"485","2016-08-12",1
"486","2016-08-13",0
"487","2016-08-14",0
"488","2016-08-15",0
"489","2016-08-16",0
"490","2016-08-17",0
"491","2016-08-18",1
"492","2016-08-19",1
"493","2016-08-20",0
"494","2016-08-21",0
"495","2016-08-22",1
"496","2016-08-23",2
"497","2016-08-24",2
"498","2016-08-25",3
"499","2016-08-26",2
"500","2016-08-27",1
"501","2016-08-28",0
"502","2016-08-29",0
"503","2016-08-30",0
"504","2016-08-31",0
"505","2016-09-01",2
"506","2016-09-02",0
"507","2016-09-03",0
"508","2016-09-04",0
"509","2016-09-05",0
"510","2016-09-06",1
"511","2016-09-07",2
"512","2016-09-08",2
"513","2016-09-09",1
"514","2016-09-10",0
"515","2016-09-11",0
"516","2016-09-12",1
"517","2016-09-13",2
"518","2016-09-14",2
"519","2016-09-15",1
"520","2016-09-16",2
"521","2016-09-17",0
"522","2016-09-18",0
"523","2016-09-19",1
"524","2016-09-20",0
"525","2016-09-21",2
"526","2016-09-22",2
"527","2016-09-23",2
"528","2016-09-24",0
"529","2016-09-25",0
"530","2016-09-26",1
"531","2016-09-27",2
"532","2016-09-28",2
"533","2016-09-29",1
"534","2016-09-30",1
"535","2016-10-01",0
"536","2016-10-02",0
"537","2016-10-03",0
"538","2016-10-04",0
"539","2016-10-05",0
"540","2016-10-06",1
"541","2016-10-07",0
"542","2016-10-08",0
"543","2016-10-09",0
"544","2016-10-10",0
"545","2016-10-11",0
"546","2016-10-12",0
"547","2016-10-13",0
"548","2016-10-14",0
"549","2016-10-15",0
"550","2016-10-16",0
"551","2016-10-17",2
"552","2016-10-18",1
"553","2016-10-19",3
"554","2016-10-20",1
"555","2016-10-21",0
"556","2016-10-22",0
"557","2016-10-23",0
"558","2016-10-24",0
"559","2016-10-25",0
"560","2016-10-26",2
"561","2016-10-27",0
"562","2016-10-28",0
"563","2016-10-29",0
"564","2016-10-30",0
"565","2016-10-31",0
"566","2016-11-01",0
"567","2016-11-02",0
"568","2016-11-03",1
"569","2016-11-04",1
"570","2016-11-05",0
"571","2016-11-06",0
"572","2016-11-07",0
"573","2016-11-08",0
"574","2016-11-09",2
"575","2016-11-10",0
"576","2016-11-11",0
"577","2016-11-12",0
"578","2016-11-13",0
"579","2016-11-14",1
"580","2016-11-15",1
"581","2016-11-16",2
"582","2016-11-17",0
"583","2016-11-18",0
"584","2016-11-19",0
"585","2016-11-20",0
"586","2016-11-21",1
"587","2016-11-22",2
"588","2016-11-23",2
"589","2016-11-24",2
"590","2016-11-25",0
"591","2016-11-26",0
"592","2016-11-27",0
"593","2016-11-28",0
"594","2016-11-29",1
"595","2016-11-30",2
"596","2016-12-01",2
"597","2016-12-02",2
"598","2016-12-03",0
"599","2016-12-04",0
"600","2016-12-05",0
"601","2016-12-06",0
"602","2016-12-07",0
"603","2016-12-08",0
"604","2016-12-09",0
"605","2016-12-10",0
"606","2016-12-11",0
"607","2016-12-12",0
"608","2016-12-13",0
"609","2016-12-14",0
"610","2016-12-15",0
"611","2016-12-16",0
"612","2016-12-17",0
"613","2016-12-18",0
"614","2016-12-19",0
"615","2016-12-20",0
"616","2016-12-21",0
"617","2016-12-22",0
"618","2016-12-23",0
"619","2016-12-24",0
"620","2016-12-25",0
"621","2016-12-26",0
"622","2016-12-27",0
"623","2016-12-28",0
"624","2016-12-29",0
"625","2016-12-30",0
"626","2016-12-31",0
"627","2017-01-01",0
"628","2017-01-02",0
"629","2017-01-03",0
"630","2017-01-04",1
"631","2017-01-05",0
"632","2017-01-06",0
"633","2017-01-07",0
"634","2017-01-08",0
"635","2017-01-09",0
"636","2017-01-10",0
"637","2017-01-11",0
"638","2017-01-12",0
"639","2017-01-13",0
"640","2017-01-14",0
"641","2017-01-15",0
"642","2017-01-16",0
"643","2017-01-17",1
"644","2017-01-18",4
"645","2017-01-19",2
"646","2017-01-20",2
"647","2017-01-21",0
"648","2017-01-22",0
"649","2017-01-23",0
"650","2017-01-24",0
"651","2017-01-25",0
"652","2017-01-26",0
"653","2017-01-27",1
"654","2017-01-28",0
"655","2017-01-29",0
"656","2017-01-30",0
"657","2017-01-31",0
"658","2017-02-01",0
"659","2017-02-02",0
"660","2017-02-03",1
"661","2017-02-04",0
"662","2017-02-05",0
"663","2017-02-06",0
"664","2017-02-07",0
"665","2017-02-08",0
"666","2017-02-09",0
"667","2017-02-10",0
"668","2017-02-11",0
"669","2017-02-12",0
"670","2017-02-13",0
"671","2017-02-14",1
"672","2017-02-15",0
"673","2017-02-16",2
"674","2017-02-17",0
"675","2017-02-18",0
"676","2017-02-19",0
"677","2017-02-20",0
"678","2017-02-21",0
"679","2017-02-22",3
"680","2017-02-23",2
"681","2017-02-24",1
"682","2017-02-25",0
"683","2017-02-26",0
"684","2017-02-27",0
"685","2017-02-28",0
"686","2017-03-01",0
"687","2017-03-02",1
"688","2017-03-03",3
"689","2017-03-04",0
"690","2017-03-05",0
"691","2017-03-06",0
"692","2017-03-07",0
"693","2017-03-08",1
"694","2017-03-09",0
"695","2017-03-10",1
"696","2017-03-11",0
"697","2017-03-12",0
"698","2017-03-13",0
"699","2017-03-14",2
"700","2017-03-15",3
"701","2017-03-16",0
"702","2017-03-17",1
"703","2017-03-18",0
"704","2017-03-19",0
"705","2017-03-20",0
"706","2017-03-21",0
"707","2017-03-22",0
"708","2017-03-23",1
"709","2017-03-24",1
"710","2017-03-25",0
"711","2017-03-26",0
"712","2017-03-27",0
"713","2017-03-28",2
"714","2017-03-29",2
"715","2017-03-30",1
"716","2017-03-31",2
"717","2017-04-01",2
"718","2017-04-02",0
"719","2017-04-03",0
"720","2017-04-04",3
"721","2017-04-05",1
"722","2017-04-06",1
"723","2017-04-07",5
"724","2017-04-08",0
"725","2017-04-09",0
"726","2017-04-10",0
"727","2017-04-11",0
"728","2017-04-12",1
"729","2017-04-13",1
"730","2017-04-14",0
"731","2017-04-15",0
"732","2017-04-16",0
"733","2017-04-17",0
"734","2017-04-18",0
"735","2017-04-19",0
"736","2017-04-20",0
"737","2017-04-21",0
"738","2017-04-22",0
"739","2017-04-23",0
"740","2017-04-24",0
"741","2017-04-25",2
"742","2017-04-26",0
"743","2017-04-27",0
"744","2017-04-28",0
"745","2017-04-29",0
"746","2017-04-30",0
"747","2017-05-01",0
"748","2017-05-02",1
"749","2017-05-03",2
"750","2017-05-04",0
"751","2017-05-05",2
